keyword,title,source_country,date,url,is_english,clean_text,headline_length_words,month
West Bank,Israeli approval of West Bank land registration draws outrage,India,2026-02-16 11:45:00,https://www.thehindu.com/news/international/israeli-approval-of-west-bank-land-registration-draws-outrage/article70638527.ece,True,israeli approval west bank land registration draws outrage,8,2026-02
West Bank,"Top Israeli Minister pushes for  emigration  of West Bank , Gaza Palestinians",India,2026-02-18 15:45:00,https://www.thehindu.com/news/international/top-israeli-minister-pushes-for-emigration-of-west-bank-gaza-palestinians/article70648442.ece,True,top israeli minister pushes emigration west bank gaza palestinians,9,2026-02
West Bank,"Britain , United States oppose West Bank annexation",Israel,2026-02-10 03:45:00,https://www.jpost.com/international/article-886149,True,britain united states oppose west bank annexation,7,2026-02
West Bank,"Masked settlers set home , car ablaze in West Bank",Israel,2026-04-19 09:30:00,http://www.jpost.com/israel-news/article-893439,True,masked settlers set home car ablaze west bank,8,2026-04
West Bank,Israel security cabinet approves measures to strengthen control over the West Bank,United States,2026-02-09 01:00:00,https://www.seattletimes.com/nation-world/israels-security-cabinet-approves-measures-to-strengthen-control-over-the-west-bank/,True,israel security cabinet approves measures strengthen control west bank,9,2026-02
West Bank,Palestine urges  powerful partner to stop Israel West Bank  annexation  | Israel - Palestine conflict News,United States,2026-02-11 00:30:00,https://www.aljazeera.com/news/2026/2/10/palestine-urges-powerful-partner-to-stop-west-bank-annexation-by-israel,True,palestine urges powerful partner stop israel west bank annexation israel palestine conflict news,13,2026-02
